"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-20 13:07:59",1763644079399,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","HEAD","",200,"b4dmg-1763644079330-3896f746aa1a","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","dev","","edge-middleware","/middleware","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1Z97CXCFVM6EPYNZJDBK","KHJxTRmXkjaf",-1
"2025-11-20 13:07:59",1763644079215,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","OPTIONS","",400,"ll6dx-1763644079011-1c93a54bd821","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","preview","dev","","lambda","/","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",6,"iad1",119,2048,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1Z3FZMHXGF57T6PAE2QS","Mdf3pv5MDwST",1
"2025-11-20 13:07:59",1763644079077,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","OPTIONS","",200,"ll6dx-1763644079011-1c93a54bd821","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","dev","","edge-middleware","/middleware","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1YZ5NM55KKV2JQE1N1GJ","KHJxTRmXkjaf",-1
"2025-11-20 13:07:57",1763644077875,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",-1,"rg8n7-1763644077647-0efaf7bf5fa5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","preview","dev","","lambda","/","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"Error: Your project's URL and Key are required to create a Supabase client!

Check your Supabase project's API settings to find these values

https://supabase.com/dashboard/project/_/settings/api
    at <unknown> (https://supabase.com/dashboard/project/_/settings/api)
    at <unknown> (.next/server/chunks/ssr/_c0bdad64._.js:37:47511)
    at ci (.next/server/chunks/ssr/_c0bdad64._.js:41:5028)
    at async g (.next/server/chunks/ssr/[root-of-the-server]__bb31690c._.js:1:11917) {
  digest: '1022167162'
}","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1XRY2SW35WDQ2CV665Q8","",-1
"2025-11-20 13:07:57",1763644077854,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",500,"rg8n7-1763644077647-0efaf7bf5fa5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","error","preview","dev","","lambda","/","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",28,"iad1",119,2048,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1XRY2SW35WDQ2CV665Q8","Mdf3pv5MDwST",1
"2025-11-20 13:07:57",1763644077706,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","",200,"rg8n7-1763644077647-0efaf7bf5fa5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","dev","","edge-middleware","/middleware","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1XMA4CRZ7WZZWAVJJ45F","KHJxTRmXkjaf",-1
"2025-11-20 13:07:57",1763644077528,"pms-5ompx1ego-jorge-arean-devs-projects.vercel.app/","GET","__vercel_toolbar_code=mZnHvpMSzHuJCsc",200,"rg8n7-1763644077457-5ddd879f139c","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","dev","","edge-middleware","/middleware","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","pms-5ompx1ego-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1XERAAZ9VGYHG4TSWYWF","KHJxTRmXkjaf",-1
"2025-11-20 13:07:39",1763644059626,"pms-git-dev-jorge-arean-devs-projects.vercel.app/","HEAD","",200,"wqt8g-1763644059568-c9bb5d439374","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","dev","","edge-middleware","/middleware","pms-git-dev-jorge-arean-devs-projects.vercel.app","pms-git-dev-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1BZA9JA2NC1JNPS2QAM9","KHJxTRmXkjaf",-1
"2025-11-20 13:07:39",1763644059429,"pms-git-dev-jorge-arean-devs-projects.vercel.app/","OPTIONS","",400,"wqt8g-1763644059221-4e9fca58f519","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","warning","preview","dev","","lambda","/","pms-git-dev-jorge-arean-devs-projects.vercel.app","pms-git-dev-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",14,"iad1",118,2048,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1BS5KCAJ6NYQA8APS3SQ","Mdf3pv5MDwST",1
"2025-11-20 13:07:39",1763644059289,"pms-git-dev-jorge-arean-devs-projects.vercel.app/","OPTIONS","",200,"wqt8g-1763644059221-4e9fca58f519","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","preview","dev","","edge-middleware","/middleware","pms-git-dev-jorge-arean-devs-projects.vercel.app","pms-git-dev-jorge-arean-devs-projects.vercel.app","dpl_AFcZmqL2Te7S9apkkVWZa4k31ALY",-1,"iad1",-1,-1,"","prj_9DLDDpkWSRdSJMazbYbyO2dqEsX1","","","01KAGP1BMS1R9TY5G1VXBZ0VYG","KHJxTRmXkjaf",-1
